Task,Data,Status,Priority
Complete Project Report,15-11-2024,Not Done,True
Prepare Presentation Slides,20-11-2024,Not Done,False
Submit Monthly Budget,10-11-2024,Done,True
Plan Team Meeting,05-11-2024,Done,False
Organize Code Review,12-11-2024,Not Done,True
Finalize Design Draft,18-11-2024,Not Done,True
Update Website Content,30-11-2024,Not Done,False
Send Client Proposal,08-11-2024,Done,True
Review Product Documentation,20-11-2024,Not Done,False
Schedule Training Session,25-11-2024,Not Done,False
